Codi INE,Municipi,Comarca,Domèstic Xarxa 2023,Activitats Econòmiques 2023,Total 2023
25123,LLADORRE,"PALLARS SOBIRÀ, EL       ",15444,9677,25121
25124,LLADURS,"SOLSONÈS, EL             ",6578,13671,20249
08105,"LLAGOSTA, LA","VALLÈS ORIENTAL, EL      ",478060,144871,622931
17089,LLAGOSTERA,"GIRONÈS, EL     ",382960,108782,491742
17090,LLAMBILLES,"GIRONÈS, EL     ",25877,8194,34071
17091,LLANARS,"RIPOLLÈS, EL             ",31980,11357,43337
17092,LLANÇA,"ALT EMPORDÀ, L'          ",417936,98568,516504
25125,LLARDECANS,"SEGRIÀ, EL               ",13438,1163,14601
25126,LLAVORSI,"PALLARS SOBIRÀ, EL       ",38115,4943,43058
25120,LLEIDA,"SEGRIÀ, EL               ",6527914,4088530,10616444
17093,LLERS,"ALT EMPORDÀ, L'          ",52061,118857,170918
25127,LLES DE CERDANYA,"CERDANYA, LA             ",39888,9919,49807
08107,LLIÇA D'AMUNT,"VALLÈS ORIENTAL, EL      ",763315,154418,917733
08108,LLIÇA DE VALL,"VALLÈS ORIENTAL, EL      ",285523,237711,523234
25128,LLIMIANA,"PALLARS JUSSÀ, EL        ",5448,293,5741
08106,LLINARS DEL VALLES,"VALLÈS ORIENTAL, EL      ",430997,606524,1037521
17094,LLIVIA,"CERDANYA, LA             ",149277,33352,182629
43072,"LLOAR, EL","PRIORAT, EL              ",4783,2038,6821
25129,LLOBERA,"SOLSONÈS, EL             ",4461,2965,7426
43073,LLORAC,"CONCA DE BARBERÀ, LA     ",6649,4,6653
43074,LLORENÇ DEL PENEDES,"BAIX PENEDÈS, EL         ",103917,73825,177742
17095,LLORET DE MAR,"SELVA, LA                ",2322020,1845427,4167447
17096,"LLOSSES, LES","RIPOLLÈS, EL             ",3341,18257,21598
08109,LLUÇA,"LLUÇANÈS, EL",8657,11702,20359
17102,MAÇANET DE CABRENYS,"ALT EMPORDÀ, L'          ",44536,26412,70948
17103,MAÇANET DE LA SELVA,"SELVA, LA                ",397275,222838,620113
17097,MADREMANYA,"GIRONÈS, EL     ",17954,6022,23976
17098,MAIA DE MONTCAL,"GARROTXA, LA             ",19914,18443,38357
25133,MAIALS,"SEGRIÀ, EL               ",29456,29210,58666
25130,MALDA,"URGELL, L'               ",7843,43736,51579
08110,MALGRAT DE MAR,"MARESME, EL              ",854985,1064897,1919882
08111,MALLA,OSONA                    ,11554,57090,68644
08112,MANLLEU,OSONA                    ,724611,438188,1162799
08113,MANRESA,"BAGES, EL                ",3030203,1017757,4047960
43076,MARÇA,"PRIORAT, EL              ",13592,1191,14783
43075,MARGALEF,"PRIORAT, EL              ",4845,1632,6477
08242,MARGANELL,"BAGES, EL                ",19394,4241,23635
08114,MARTORELL,"BAIX LLOBREGAT, EL       ",1044084,4555957,5600041
08115,MARTORELLES,"VALLÈS ORIENTAL, EL      ",198349,1284837,1483186
43077,MAS DE BARBERANS,"MONTSIÀ, EL              ",15809,1350,17159
17100,MASARAC,"ALT EMPORDÀ, L'          ",20103,45362,65465
43078,MASDENVERGE,"MONTSIÀ, EL              ",35845,53682,89527
08116,"MASIES DE RODA, LES",OSONA                    ,28002,56323,84325
08117,"MASIES DE VOLTREGA, LES",OSONA                    ,126465,447429,573894
43079,MASLLORENÇ,"BAIX PENEDÈS, EL         ",27806,3512,31318
08118,"MASNOU, EL","MARESME, EL              ",1095145,324050,1419195
43080,"MASO, LA","ALT CAMP, L'             ",18042,692,18734
43081,MASPUJOLS,"BAIX CAMP, EL            ",25641,1138,26779
08119,MASQUEFA,"ANOIA, L'                ",380803,85090,465893
43082,"MASROIG, EL","PRIORAT, EL              ",15585,5249,20834
25131,MASSALCOREIG,"SEGRIÀ, EL               ",45246,2508,47754
17101,MASSANES,"SELVA, LA                ",39703,217774,257477
25132,MASSOTERES,"SEGARRA, LA              ",9338,85275,94613
08120,MATADEPERA,"VALLÈS OCCIDENTAL, EL    ",571705,157413,729118
08121,MATARO,"MARESME, EL              ",4519235,1664944,6184179
17904,MEDINYÀ,"GIRONÈS, EL     ",0,0,0
08122,MEDIONA,"ALT PENEDÈS, L'          ",131939,28388,160327
25134,MENARGUENS,"NOGUERA, LA              ",34329,7434,41763
17099,MERANGES,"CERDANYA, LA             ",11210,1368,12578
17105,MIERES,"GARROTXA, LA             ",10087,6117,16204
43083,"MILA, EL","ALT CAMP, L'             ",6164,257,6421
25135,MIRALCAMP,"PLA D'URGELL, EL         ",67284,344638,411922
43084,MIRAVET,"RIBERA D'EBRE, LA        ",20465,2135,22600
08138,MOIA,Moianès,248425,277145,525570
43085,"MOLAR, EL","PRIORAT, EL              ",10628,4360,14988
08123,MOLINS DE REI,"BAIX LLOBREGAT, EL       ",998922,346796,1345718
25137,MOLLERUSSA,"PLA D'URGELL, EL         ",632445,2424906,3057351
17106,MOLLET DE PERALADA,"ALT EMPORDÀ, L'          ",8810,2293,11103
08124,MOLLET DEL VALLES,"VALLÈS ORIENTAL, EL      ",1809118,921712,2730830
17107,MOLLO,"RIPOLLÈS, EL             ",21782,6335,28117
25136,"MOLSOSA, LA","SOLSONÈS, EL             ",2742,253,2995
08128,MONISTROL DE CALDERS,Moianès,32241,17536,49777
08127,MONISTROL DE MONTSERRAT,"BAGES, EL                ",112834,235075,347909
17109,MONTAGUT,"GARROTXA, LA             ",36941,28107,65048
43086,MONTBLANC,"CONCA DE BARBERÀ, LA     ",248972,314725,563697
43088,MONTBRIO DEL CAMP,"BAIX CAMP, EL            ",101875,95938,197813
08125,MONTCADA I REIXAC,"VALLÈS OCCIDENTAL, EL    ",1338162,1100364,2438526
08130,MONTCLAR,"BERGUEDÀ, EL             ",5159,158297,163456
25139,MONTELLA I MARTINET,"CERDANYA, LA             ",31078,15003,46081
08131,MONTESQUIU,OSONA                    ,37367,10647,48014
25140,MONTFERRER I CASTELLBO,"ALT URGELL, L'           ",49350,323315,372665
43089,MONTFERRI,"ALT CAMP, L'             ",27041,5064,32105
25138,MONTGAI,"NOGUERA, LA              ",26915,3590,30505
08126,MONTGAT,"MARESME, EL              ",470991,75462,546453
08132,MONTMAJOR,"BERGUEDÀ, EL             ",22459,137125,159584
08133,MONTMANEU,"ANOIA, L'                ",3830,31932,35762
43090,"MONTMELL, EL","BAIX PENEDÈS, EL         ",124162,10418,134580
08135,MONTMELO,"VALLÈS ORIENTAL, EL      ",320957,739808,1060765
25142,MONTOLIU DE LLEIDA,"SEGRIÀ, EL               ",19927,10416,30343
25141,MONTOLIU DE SEGARRA,"SEGARRA, LA              ",8158,809,8967
25143,MONTORNES DE SEGARRA,"SEGARRA, LA              ",4324,165,4489
08136,MONTORNES DEL VALLES,"VALLÈS ORIENTAL, EL      ",633586,580079,1213665
43091,MONT-RAL,"ALT CAMP, L'             ",8764,298,9062
17110,MONT-RAS,"BAIX EMPORDÀ, EL         ",80944,31249,112193
43092,MONT-ROIG DEL CAMP,"BAIX CAMP, EL            ",1348595,651441,2000036
08137,MONTSENY,"VALLÈS ORIENTAL, EL      ",13158,14056,27214
43093,MORA D'EBRE,"RIBERA D'EBRE, LA        ",211706,774975,986681
43094,MORA LA NOVA,"RIBERA D'EBRE, LA        ",123246,146143,269389
43095,"MORELL, EL","TARRAGONÈS, EL           ",86903,7724679,7811582
43096,"MORERA DE MONTSANT, LA","PRIORAT, EL              ",12510,5736,18246
08129,MUNTANYOLA,OSONA                    ,31218,16050,47268
08139,MURA,"BAGES, EL                ",13768,5245,19013
25145,NALEC,"URGELL, L'               ",3052,1182,4234
25025,NAUT ARAN,"VAL D'ARAN, LA           ",596484,855658,1452142
08140,NAVARCLES,"BAGES, EL                ",219938,117801,337739
08141,NAVAS,"BAGES, EL                ",231838,141805,373643
17111,NAVATA,"ALT EMPORDÀ, L'          ",100322,148999,249321
25146,NAVES,"SOLSONÈS, EL             ",12568,104973,117541
08142,"NOU DE BERGUEDA, LA","BERGUEDÀ, EL             ",5558,2511,8069
43097,"NOU DE GAIA, LA","TARRAGONÈS, EL           ",24251,1,24252
43098,NULLES,"ALT CAMP, L'             ",23894,1429,25323
25148,ODEN,"SOLSONÈS, EL             ",2388,6983,9371
08143,ODENA,"ANOIA, L'                ",126664,126881,253545
17112,OGASSA,"RIPOLLÈS, EL             ",8225,9160,17385
08145,OLERDOLA,"ALT PENEDÈS, L'          ",179036,282852,461888
08146,OLESA DE BONESVALLS,"ALT PENEDÈS, L'          ",108381,21900,130281
08147,OLESA DE MONTSERRAT,"BAIX LLOBREGAT, EL       ",921941,1039286,1961227
25149,OLIANA,"ALT URGELL, L'           ",82607,112292,194899
25150,OLIOLA,"NOGUERA, LA              ",6560,163346,169906
25151,OLIUS,"SOLSONÈS, EL             ",43041,57576,100617
08148,OLIVELLA,"GARRAF, EL               ",254899,21342,276241
08149,OLOST,"LLUÇANÈS, EL",39989,168140,208129
17114,OLOT,"GARROTXA, LA             ",1527052,1623313,3150365
25152,"OLUGES, LES","SEGARRA, LA              ",7705,6436,14141
08144,OLVAN,"BERGUEDÀ, EL             ",24969,20668,45637
25153,"OMELLONS, ELS","GARRIGUES, LES           ",6204,335,6539
25154,"OMELLS DE NA GAIA, ELS","URGELL, L'               ",5465,22817,28282
17115,ORDIS,"ALT EMPORDÀ, L'          ",15183,14054,29237
25155,ORGANYA,"ALT URGELL, L'           ",43112,39984,83096
08150,ORIS,OSONA                    ,9729,103121,112850
08151,ORISTA,"LLUÇANÈS, EL",15078,47781,62859
08152,ORPI,"ANOIA, L'                ",6500,1557,8057
08153,ORRIUS,"MARESME, EL              ",35734,6158,41892
25156,OS DE BALAGUER,"NOGUERA, LA              ",51385,6036,57421
17116,OSOR,"SELVA, LA                ",16630,51759,68389
25157,OSSO DE SIO,"URGELL, L'               ",7208,68036,75244
08154,PACS DEL PENEDES,"ALT PENEDÈS, L'          ",46189,152601,198790
08155,PALAFOLLS,"MARESME, EL              ",379091,630645,1009736
17117,PALAFRUGELL,"BAIX EMPORDÀ, EL         ",1447775,474337,1922112
17118,PALAMOS,"BAIX EMPORDÀ, EL         ",919217,342846,1262063
25158,"PALAU D'ANGLESOLA, EL","PLA D'URGELL, EL         ",93468,84157,177625
17119,PALAU DE SANTA EULALIA,"ALT EMPORDÀ, L'          ",7646,366,8012
17121,PALAU-SATOR,"BAIX EMPORDÀ, EL         ",31485,34008,65493
17120,PALAU-SAVERDERA,"ALT EMPORDÀ, L'          ",97154,25376,122530
08156,PALAU-SOLITÀ I PLEGAMANS,"VALLÈS OCCIDENTAL, EL    ",588129,476587,1064716
43100,"PALLARESOS, ELS","TARRAGONÈS, EL           ",231738,41463,273201
08157,PALLEJA,"BAIX LLOBREGAT, EL       ",475508,106896,582404
08905,"PALMA DE CERVELLO, LA","BAIX LLOBREGAT, EL       ",129921,24370,154291
43099,"PALMA D'EBRE, LA","RIBERA D'EBRE, LA        ",12122,4269,16391
17123,PALOL DE REVARDIT,"PLA DE L'ESTANY, EL      ",14106,55908,70014
17124,PALS,"BAIX EMPORDÀ, EL         ",338714,697448,1036162
08158,"PAPIOL, EL","BAIX LLOBREGAT, EL       ",169475,256560,426035
17125,PARDINES,"RIPOLLÈS, EL             ",7334,2328,9662
08159,PARETS DEL VALLES,"VALLÈS ORIENTAL, EL      ",741871,1672043,2413914
17126,PARLAVA,"BAIX EMPORDÀ, EL         ",32836,35734,68570
43101,PASSANANT I BELLTALL,"CONCA DE BARBERÀ, LA     ",4843,936,5779
17128,PAU,"ALT EMPORDÀ, L'          ",42484,20837,63321
43102,PAÜLS,"BAIX EBRE, EL            ",38772,2268,41040
17129,PEDRET I MARZA,"ALT EMPORDÀ, L'          ",10980,9554,20534
25164,PENELLES,"NOGUERA, LA              ",17208,10501,27709
17130,"PERA, LA","BAIX EMPORDÀ, EL         ",20262,16330,36592
08160,PERAFITA,"LLUÇANÈS, EL",16226,23053,39279
43103,PERAFORT,"TARRAGONÈS, EL           ",48165,9826,57991
17132,PERALADA,"ALT EMPORDÀ, L'          ",132114,283995,416109
25165,PERAMOLA,"ALT URGELL, L'           ",26967,44354,71321
43104,"PERELLO, EL","BAIX EBRE, EL            ",131400,77254,208654
08161,PIERA,"ANOIA, L'                ",750153,83019,833172
43105,"PILES, LES","CONCA DE BARBERÀ, LA     ",7368,2753,10121
08163,PINEDA DE MAR,"MARESME, EL              ",995265,467888,1463153
43106,"PINELL DE BRAI, EL",TERRA ALTA               ,30488,5588,36076
25166,PINELL DE SOLSONES,"SOLSONÈS, EL             ",5397,961,6358
25167,PINOS,"SOLSONÈS, EL             ",9618,629,10247
43107,PIRA,"CONCA DE BARBERÀ, LA     ",17597,11245,28842
43108,"PLA DE SANTA MARIA, EL","ALT CAMP, L'             ",99142,197437,296579
08164,"PLA DEL PENEDES, EL","ALT PENEDÈS, L'          ",49356,10088,59444
17133,"PLANES D'HOSTOLES, LES","GARROTXA, LA             ",61779,80323,142102
17134,PLANOLES,"RIPOLLÈS, EL             ",25646,8115,33761
25911,"PLANS DE SIO, ELS","SEGARRA, LA              ",15546,161965,177511
25168,"POAL, EL","PLA D'URGELL, EL         ",38592,3085,41677
25169,"POBLA DE CERVOLES, LA","GARRIGUES, LES           ",10818,1093,11911
08165,"POBLA DE CLARAMUNT, LA","ANOIA, L'                ",95709,1701738,1797447
08166,"POBLA DE LILLET, LA","BERGUEDÀ, EL             ",37490,20830,58320
43109,"POBLA DE MAFUMET, LA","TARRAGONÈS, EL           ",110013,15222369,15332382
43110,"POBLA DE MASSALUCA, LA",TERRA ALTA               ,13082,11326,24408
43111,"POBLA DE MONTORNES, LA","TARRAGONÈS, EL           ",199217,52697,251914
25171,"POBLA DE SEGUR, LA","PALLARS JUSSÀ, EL        ",279480,12606,292086
43112,POBOLEDA,"PRIORAT, EL              ",14420,1528,15948
08167,POLINYA,"VALLÈS OCCIDENTAL, EL    ",328803,245286,574089
43113,"PONT D'ARMENTERA, EL","ALT CAMP, L'             ",19602,10124,29726
25030,"PONT DE BAR, EL","ALT URGELL, L'           ",11098,3860,14958
17135,PONT DE MOLINS,"ALT EMPORDÀ, L'          ",20921,56872,77793
25173,"PONT DE SUERT, EL","ALTA RIBAGORÇA, L'       ",149150,33095,182245
08182,"PONT DE VILOMARA I ROCAFORT, EL","BAGES, EL                ",172035,63985,236020
43141,PONTILS,"CONCA DE BARBERÀ, LA     ",7479,19768,27247
08168,PONTONS,"ALT PENEDÈS, L'          ",25673,5173,30846
17136,PONTOS,"ALT EMPORDÀ, L'          ",9705,3263,12968
25172,PONTS,"NOGUERA, LA              ",103102,100037,203139
17137,PORQUERES,"PLA DE L'ESTANY, EL      ",190905,72509,263414
43114,PORRERA,"PRIORAT, EL              ",14797,8180,22977
17140,"PORT DE LA SELVA, EL","ALT EMPORDÀ, L'          ",152192,49342,201534
17138,PORTBOU,"ALT EMPORDÀ, L'          ",47626,15738,63364
25174,"PORTELLA, LA","SEGRIÀ, EL               ",30728,22775,53503
43115,PRADELL DE LA TEIXETA,"PRIORAT, EL              ",5259,2270,7529
43116,PRADES,"BAIX CAMP, EL            ",33296,16681,49977
43117,PRAT DE COMTE,TERRA ALTA               ,7966,2692,10658
08169,"PRAT DE LLOBREGAT, EL","BAIX LLOBREGAT, EL       ",2276511,5920078,8196589
43118,PRATDIP,"BAIX CAMP, EL            ",49887,11174,61061
08171,PRATS DE LLUÇANES,"LLUÇANÈS, EL",86134,90428,176562
08170,"PRATS DEL REI, ELS","ANOIA, L'                ",18072,29264,47336
25175,PRATS I SANSOR,"CERDANYA, LA             ",74359,34539,108898
25176,PREIXANA,"URGELL, L'               ",14035,15871,29906
25177,PREIXENS,"NOGUERA, LA              ",15279,11261,26540
08230,PREMIA DE DALT,"MARESME, EL              ",599945,82237,682182
08172,PREMIA DE MAR,"MARESME, EL              ",1188152,199421,1387573
17139,"PRESES, LES","GARROTXA, LA             ",89222,172498,261720
25179,PRULLANS,"CERDANYA, LA             ",25370,20171,45541
17141,PUIGCERDA,"CERDANYA, LA             ",472472,338687,811159
08174,PUIGDALBER,"ALT PENEDÈS, L'          ",25091,3609,28700
25180,PUIGGROS,"GARRIGUES, LES           ",12542,219,12761
43119,PUIGPELAT,"ALT CAMP, L'             ",48521,791682,840203
08175,PUIG-REIG,"BERGUEDÀ, EL             ",136500,99125,235625
25181,PUIGVERD D'AGRAMUNT,"URGELL, L'               ",9467,12697,22164
25182,PUIGVERD DE LLEIDA,"SEGRIÀ, EL               ",53686,31775,85461
08176,PUJALT,"ANOIA, L'                ",6555,36843,43398
08177,"QUAR, LA","BERGUEDÀ, EL             ",828,6744,7572
17142,QUART,"GIRONÈS, EL     ",133840,95732,229572
17043,QUERALBS,"RIPOLLÈS, EL             ",11494,145925,157419
43120,QUEROL,"ALT CAMP, L'             ",72007,717,72724
17143,RABOS,"ALT EMPORDÀ, L'          ",7305,1943,9248
08178,RAJADELL,"BAGES, EL                ",24343,22364,46707
43121,RASQUERA,"RIBERA D'EBRE, LA        ",24432,6841,31273
17144,REGENCOS,"BAIX EMPORDÀ, EL         ",15382,37476,52858
08179,RELLINARS,"VALLÈS OCCIDENTAL, EL    ",47657,3025,50682
43122,RENAU,"TARRAGONÈS, EL           ",5699,1483,7182
43123,REUS,"BAIX CAMP, EL            ",3959633,2623755,6583388
25183,RIALP,"PALLARS SOBIRÀ, EL       ",22075,188349,210424
43124,"RIBA, LA","ALT CAMP, L'             ",26476,374877,401353
43125,RIBA-ROJA D'EBRE,"RIBERA D'EBRE, LA        ",49458,5477,54935
25905,RIBERA D'ONDARA,"SEGARRA, LA              ",18374,18278,36652
25185,RIBERA D'URGELLET,"ALT URGELL, L'           ",36200,52500,88700
17145,RIBES DE FRESER,"RIPOLLÈS, EL             ",77685,134700,212385
17146,RIELLS I VIABREA,"SELVA, LA                ",233496,45948,279444
43126,"RIERA DE GAIA, LA","TARRAGONÈS, EL           ",65953,23312,89265
25186,RINER,"SOLSONÈS, EL             ",6894,4735,11629
17147,RIPOLL,"RIPOLLÈS, EL             ",395105,256807,651912
08180,RIPOLLET,"VALLÈS OCCIDENTAL, EL    ",1411136,376237,1787373
25913,RIU DE CERDANYA,"CERDANYA, LA             ",7524,2883,10407
17148,RIUDARENES,"SELVA, LA                ",102338,124638,226976
17149,RIUDAURA,"GARROTXA, LA             ",21429,2411,23840
43127,RIUDECANYES,"BAIX CAMP, EL            ",55330,4424,59754
43128,RIUDECOLS,"BAIX CAMP, EL            ",40534,16758,57292
17150,RIUDELLOTS DE LA SELVA,"SELVA, LA                ",71860,991078,1062938
43129,RIUDOMS,"BAIX CAMP, EL            ",163442,242093,405535
17151,RIUMORS,"ALT EMPORDÀ, L'          ",9366,1426,10792
08181,"ROCA DEL VALLES, LA","VALLÈS ORIENTAL, EL      ",489216,585951,1075167
43130,ROCAFORT DE QUERALT,"CONCA DE BARBERÀ, LA     ",6447,341,6788
43131,RODA DE BERÀ,"TARRAGONÈS, EL           ",610827,266233,877060
08183,RODA DE TER,OSONA                    ,236916,38966,275882
43132,RODONYA,"ALT CAMP, L'             ",27055,5236,32291
43133,ROQUETES,"BAIX EBRE, EL            ",261451,621806,883257
17152,ROSES,"ALT EMPORDÀ, L'          ",1385392,594537,1979929
25189,ROSSELLO,"SEGRIÀ, EL               ",123140,2117873,2241013
43134,"ROURELL, EL","ALT CAMP, L'             ",14744,1,14745
08184,RUBI,"VALLÈS OCCIDENTAL, EL    ",2920409,1891591,4812000
08185,RUBIO,"ANOIA, L'                ",13361,11611,24972
17153,RUPIA,"BAIX EMPORDÀ, EL         ",25390,7330,32720
08901,RUPIT I PRUIT,OSONA                    ,12012,24902,36914
08187,SABADELL,"VALLÈS OCCIDENTAL, EL    ",7796196,2278524,10074720
08188,SAGAS,"BERGUEDÀ, EL             ",4581,26579,31160
25190,SALAS DE PALLARS,"PALLARS JUSSÀ, EL        ",15790,8802,24592
08190,SALDES,"BERGUEDÀ, EL             ",15208,27875,43083
17154,SALES DE LLIERCA,"GARROTXA, LA             ",6338,808,7146
08191,SALLENT,"BAGES, EL                ",237259,800334,1037593
43135,SALOMO,"TARRAGONÈS, EL           ",27988,13654,41642
43905,SALOU,"TARRAGONÈS, EL           ",2262958,3324531,5587489
17155,SALT,"GIRONÈS, EL     ",911418,274325,1185743
25191,SANAÜJA,"SEGARRA, LA              ",18539,13838,32377
08194,SANT ADRIA DE BESOS,"BARCELONÈS, EL           ",1359760,540689,1900449
08195,SANT AGUSTI DE LLUÇANES,OSONA                    ,6847,27700,34547
08196,SANT ANDREU DE LA BARCA,"BAIX LLOBREGAT, EL       ",1013145,472392,1485537
08197,SANT ANDREU DE LLAVANERES,"MARESME, EL              ",768850,307728,1076578
17157,SANT ANDREU SALOU,"GIRONÈS, EL     ",0,3025,3025
17183,SANT ANIOL DE FINESTRES,"GARROTXA, LA             ",11150,120738,131888
08198,SANT ANTONI DE VILAMAJOR,"VALLÈS ORIENTAL, EL      ",312879,53239,366118
08199,SANT BARTOMEU DEL GRAU,OSONA                    ,29785,39516,69301
08200,SANT BOI DE LLOBREGAT,"BAIX LLOBREGAT, EL       ",2940892,1302485,4243377
08201,SANT BOI DE LLUÇANES,OSONA                    ,18726,50155,68881
43136,SANT CARLES DE LA RAPITA,"MONTSIÀ, EL              ",650600,338780,989380
08203,SANT CEBRIA DE VALLALTA,"MARESME, EL              ",236050,49884,285934
08202,SANT CELONI,"VALLÈS ORIENTAL, EL      ",678866,776496,1455362
08204,SANT CLIMENT DE LLOBREGAT,"BAIX LLOBREGAT, EL       ",142660,23129,165789
17158,SANT CLIMENT SESCEBES,"ALT EMPORDÀ, L'          ",23496,57462,80958
08205,SANT CUGAT DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",4244603,1824924,6069527
08206,SANT CUGAT SESGARRIGUES,"ALT PENEDÈS, L'          ",29090,32823,61913
25196,SANT ESTEVE DE LA SARGA,"PALLARS JUSSÀ, EL        ",11969,492,12461
08207,SANT ESTEVE DE PALAUTORDERA,"VALLÈS ORIENTAL, EL      ",132923,23443,156366
08208,SANT ESTEVE SESROVIRES,"BAIX LLOBREGAT, EL       ",339716,838289,1178005
17159,SANT FELIU DE BUIXALLEU,"SELVA, LA                ",63561,59887,123448
08210,SANT FELIU DE CODINES,"VALLÈS ORIENTAL, EL      ",258088,58971,317059
17160,SANT FELIU DE GUÍXOLS,"BAIX EMPORDÀ, EL         ",1348589,433144,1781733
08211,SANT FELIU DE LLOBREGAT,"BAIX LLOBREGAT, EL       ",1566094,420894,1986988
17161,SANT FELIU DE PALLEROLS,"GARROTXA, LA             ",48963,21933,70896
08212,SANT FELIU SASSERRA,"BAGES, EL                ",24152,33983,58135
17162,SANT FERRIOL,"GARROTXA, LA             ",1421,4476,5897
08209,SANT FOST DE CAMPSENTELLES,"VALLÈS ORIENTAL, EL      ",391908,180489,572397
08213,SANT FRUITOS DE BAGES,"BAGES, EL                ",380988,295203,676191
17163,SANT GREGORI,"GIRONÈS, EL     ",129037,189250,318287
25192,SANT GUIM DE FREIXENET,"SEGARRA, LA              ",34581,164702,199283
25197,SANT GUIM DE LA PLANA,"SEGARRA, LA              ",7551,30381,37932
17164,SANT HILARI SACALM,"SELVA, LA                ",205274,586570,791844
08215,SANT HIPOLIT DE VOLTREGA,OSONA                    ,133417,29415,162832
08193,SANT ISCLE DE VALLALTA,"MARESME, EL              ",61427,11490,72917
08216,SANT JAUME DE FRONTANYA,"BERGUEDÀ, EL             ",1462,1469,2931
17165,SANT JAUME DE LLIERCA,"GARROTXA, LA             ",31189,70424,101613
43137,SANT JAUME DELS DOMENYS,"BAIX PENEDÈS, EL         ",130720,34267,164987
43902,SANT JAUME D'ENVEJA,"MONTSIÀ, EL              ",140304,33128,173432
17167,SANT JOAN DE LES ABADESSES,"RIPOLLÈS, EL             ",124835,377785,502620
17168,SANT JOAN DE MOLLET,"GIRONÈS, EL     ",20814,7727,28541
08218,SANT JOAN DE VILATORRADA,"BAGES, EL                ",400042,408492,808534
08217,SANT JOAN DESPI,"BAIX LLOBREGAT, EL       ",1244924,613717,1858641
17185,SANT JOAN LES FONTS,"GARROTXA, LA             ",137776,1071522,1209298
17166,SANT JORDI DESVALLS,"GIRONÈS, EL     ",33949,14783,48732
08903,SANT JULIA DE CERDANYOLA,"BERGUEDÀ, EL             ",10906,416,11322
17903,SANT JULIA DE LLOR I BONMATI,"SELVA, LA                ",54437,30527,84964
17169,SANT JULIA DE RAMIS,"GIRONÈS, EL     ",148193,27793,175986
08220,SANT JULIA DE VILATORTA,OSONA                    ,133879,62307,196186
08221,SANT JUST DESVERN,"BAIX LLOBREGAT, EL       ",884166,372264,1256430
17171,SANT LLORENÇ DE LA MUGA,"ALT EMPORDÀ, L'          ",11161,3555,14716
25193,SANT LLORENÇ DE MORUNYS,"SOLSONÈS, EL             ",58214,31385,89599
08222,SANT LLORENÇ D'HORTONS,"ALT PENEDÈS, L'          ",82513,131143,213656
08223,SANT LLORENÇ SAVALL,"VALLÈS OCCIDENTAL, EL    ",99590,30639,130229
08225,SANT MARTI D'ALBARS,"LLUÇANÈS, EL",4778,53097,57875
08224,SANT MARTI DE CENTELLES,OSONA                    ,50765,22643,73408
17172,SANT MARTI DE LLÈMENA,"GIRONÈS, EL     ",28532,6688,35220
25902,SANT MARTI DE RIUCORB,"URGELL, L'               ",26979,1136,28115
08226,SANT MARTI DE TOUS,"ANOIA, L'                ",44888,3301,48189
08227,SANT MARTI SARROCA,"ALT PENEDÈS, L'          ",137422,30200,167622
08228,SANT MARTI SESGUEIOLES,"ANOIA, L'                ",11810,9953,21763
17173,SANT MARTI VELL,"GIRONÈS, EL     ",10450,5997,16447
08229,SANT MATEU DE BAGES,"BAGES, EL                ",19732,59743,79475
17174,SANT MIQUEL DE CAMPMAJOR,"PLA DE L'ESTANY, EL      ",1763,13349,15112
17175,SANT MIQUEL DE FLUVIA,"ALT EMPORDÀ, L'          ",32913,7345,40258
17176,SANT MORI,"ALT EMPORDÀ, L'          ",12828,316,13144
17177,SANT PAU DE SEGURIES,"RIPOLLÈS, EL             ",30695,14565,45260
08231,SANT PERE DE RIBES,"GARRAF, EL               ",1356298,321731,1678029
08232,SANT PERE DE RIUDEBITLLES,"ALT PENEDÈS, L'          ",93271,63945,157216
08233,SANT PERE DE TORELLO,OSONA                    ,78894,88789,167683
08234,SANT PERE DE VILAMAJOR,"VALLÈS ORIENTAL, EL      ",216436,73962,290398
17178,SANT PERE PESCADOR,"ALT EMPORDÀ, L'          ",96033,275534,371567
08189,SANT PERE SALLAVINERA,"ANOIA, L'                ",7282,16114,23396
08235,SANT POL DE MAR,"MARESME, EL              ",343182,85877,429059
08236,SANT QUINTI DE MEDIONA,"ALT PENEDÈS, L'          ",84798,69084,153882
08237,SANT QUIRZE DE BESORA,OSONA                    ,80398,24868,105266
08238,SANT QUIRZE DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",885550,399163,1284713
08239,SANT QUIRZE SAFAJA,Moianès,35889,26512,62401
25194,SANT RAMON,"SEGARRA, LA              ",18224,102167,120391
08240,SANT SADURNI D'ANOIA,"ALT PENEDÈS, L'          ",462761,424449,887210
08241,SANT SADURNI D'OSORMORT,OSONA                    ,0,4784,4784
08098,SANT SALVADOR DE GUARDIOLA,"BAGES, EL                ",156737,53364,210101
08262,SANT VICENÇ DE CASTELLET,"BAGES, EL                ",370700,313025,683725
08264,SANT VICENÇ DE MONTALT,"MARESME, EL              ",549674,252604,802278
08265,SANT VICENÇ DE TORELLO,OSONA                    ,73280,172515,245795
08263,SANT VICENÇ DELS HORTS,"BAIX LLOBREGAT, EL       ",1108326,621515,1729841
43138,SANTA BARBARA,"MONTSIÀ, EL              ",136215,63953,200168
08243,SANTA CECILIA DE VOLTREGA,OSONA                    ,6114,35868,41982
