Codi INE,Municipi,Comarca,Domèstic Xarxa 2023,Activitats Econòmiques 2023,Total 2023
43021,BARBERA DE LA CONCA,"CONCA DE BARBERÀ, LA     ",23260,27883,51143
08252,BARBERA DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",1259115,943634,2202749
08019,BARCELONA,"BARCELONÈS, EL           ",63401101,33501582,96902683
25042,BARONIA DE RIALB,"NOGUERA, LA              ",4750,50825,55575
17016,BASCARA,"ALT EMPORDÀ, L'          ",38869,10508,49377
25044,BASSELLA,"ALT URGELL, L'           ",6611,94315,100926
43022,BATEA,TERRA ALTA               ,51852,32366,84218
25045,BAUSEN,"VAL D'ARAN, LA           ",6660,432,7092
08020,BEGUES,"BAIX LLOBREGAT, EL       ",334775,55121,389896
17013,BEGUR,"BAIX EMPORDÀ, EL         ",691807,292355,984162
25046,BELIANES,"URGELL, L'               ",19675,58176,77851
25170,BELLAGUARDA,"GARRIGUES, LES           ",7522,1922,9444
17018,BELLCAIRE D'EMPORDA,"BAIX EMPORDÀ, EL         ",59677,14692,74369
25047,BELLCAIRE D'URGELL,"NOGUERA, LA              ",58627,15740,74367
25048,BELL-LLOC D'URGELL,"PLA D'URGELL, EL         ",99996,502542,602538
43023,BELLMUNT DE PRIORAT,"PRIORAT, EL              ",23616,3660,27276
25049,BELLMUNT D'URGELL,"NOGUERA, LA              ",9913,7486,17399
08021,BELLPRAT,"ANOIA, L'                ",1255,0,1255
25050,BELLPUIG,"URGELL, L'               ",198844,194004,392848
43024,BELLVEI,"BAIX PENEDÈS, EL         ",120354,41578,161932
25051,BELLVER DE CERDANYA,"CERDANYA, LA             ",147472,98934,246406
25052,BELLVIS,"PLA D'URGELL, EL         ",71435,18839,90274
25053,BENAVENT DE SEGRIA,"SEGRIÀ, EL               ",70712,25609,96321
43025,BENIFALLET,"BAIX EBRE, EL            ",18696,2240,20936
43026,BENISSANET,"RIBERA D'EBRE, LA        ",35112,7819,42931
08022,BERGA,"BERGUEDÀ, EL             ",554493,270102,824595
17019,BESALU,"GARROTXA, LA             ",94296,47835,142131
17020,BESCANO,"GIRONÈS, EL     ",156878,71745,228623
17021,BEUDA,"GARROTXA, LA             ",6419,58424,64843
08023,BIGUES I RIELLS,"VALLÈS ORIENTAL, EL      ",455217,69894,525111
25055,BIOSCA,"SEGARRA, LA              ",7312,5336,12648
43027,"BISBAL DE FALSET, LA","PRIORAT, EL              ",8244,1181,9425
43028,"BISBAL DEL PENEDES, LA","BAIX PENEDÈS, EL         ",242141,102796,344937
17022,"BISBAL D'EMPORDA, LA","BAIX EMPORDÀ, EL         ",400189,131304,531493
17234,BIURE,"ALT EMPORDÀ, L'          ",12538,300,12838
43029,BLANCAFORT,"CONCA DE BARBERÀ, LA     ",12586,5827,18413
17023,BLANES,"SELVA, LA                ",1822754,969220,2791974
17029,BOADELLA I LES ESCAULES,"ALT EMPORDÀ, L'          ",8010,3473,11483
17024,BOLVIR,"CERDANYA, LA             ",38965,459310,498275
43030,BONASTRE,"BAIX PENEDÈS, EL         ",41211,627,41838
25057,"BORDES, ES","VAL D'ARAN, LA           ",26235,516,26751
17025,BORDILS,"GIRONÈS, EL     ",78564,36571,115135
25058,"BORGES BLANQUES, LES","GARRIGUES, LES           ",221726,440332,662058
43031,"BORGES DEL CAMP, LES","BAIX CAMP, EL            ",69720,26274,95994
17026,BORRASSA,"ALT EMPORDÀ, L'          ",25516,541,26057
08024,BORREDA,"BERGUEDÀ, EL             ",15086,21371,36457
25059,BOSSOST,"VAL D'ARAN, LA           ",74784,9081,83865
43032,BOT,TERRA ALTA               ,18580,16662,35242
43033,BOTARELL,"BAIX CAMP, EL            ",53062,22767,75829
25056,BOVERA,"GARRIGUES, LES           ",10074,4364,14438
43034,BRAFIM,"ALT CAMP, L'             ",33001,12968,45969
17027,BREDA,"SELVA, LA                ",155415,15825,171240
08025,"BRUC, EL","ANOIA, L'                ",93455,19310,112765
08026,"BRULL, EL",OSONA                    ,10636,105187,115823
17028,BRUNYOLA,"SELVA, LA                ",4364,11566,15930
43035,CABACES,"PRIORAT, EL              ",10180,3557,13737
25060,CABANABONA,"NOGUERA, LA              ",6774,74421,81195
17031,CABANELLES,"ALT EMPORDÀ, L'          ",12649,4145,16794
17030,CABANES,"ALT EMPORDÀ, L'          ",21962,6794,28756
08027,"CABANYES, LES","ALT PENEDÈS, L'          ",34265,12950,47215
25061,CABO,"ALT URGELL, L'           ",5104,432,5536
43036,CABRA DEL CAMP,"ALT CAMP, L'             ",72210,4837,77047
08028,CABRERA D'ANOIA,"ANOIA, L'                ",59293,5889,65182
08029,CABRERA DE MAR,"MARESME, EL              ",301869,300399,602268
08030,CABRILS,"MARESME, EL              ",619856,80140,699996
17032,CADAQUES,"ALT EMPORDÀ, L'          ",283706,122183,405889
08031,CALAF,"ANOIA, L'                ",110820,39387,150207
43037,CALAFELL,"BAIX PENEDÈS, EL         ",1911838,435731,2347569
08034,CALDERS,Moianès,50168,34763,84931
17033,CALDES DE MALAVELLA,"SELVA, LA                ",422087,822157,1244244
08033,CALDES DE MONTBUI,"VALLÈS ORIENTAL, EL      ",638075,310096,948171
08032,CALDES D'ESTRAC,"MARESME, EL              ",196133,22915,219048
08035,CALELLA,"MARESME, EL              ",847968,648659,1496627
08037,CALLDETENES,OSONA                    ,88678,30661,119339
08038,CALLUS,"BAGES, EL                ",76880,24348,101228
17034,CALONGE,"BAIX EMPORDÀ, EL         ",1058094,310847,1368941
08036,CALONGE DE SEGARRA,"ANOIA, L'                ",7626,34227,41853
25062,CAMARASA,"NOGUERA, LA              ",71327,25642,96969
43903,CAMARLES,"BAIX EBRE, EL            ",118003,52394,170397
43038,CAMBRILS,"BAIX CAMP, EL            ",2440962,1050341,3491303
17035,CAMOS,"PLA DE L'ESTANY, EL      ",22823,15349,38172
17036,CAMPDEVANOL,"RIPOLLÈS, EL             ",121463,44053,165516
17037,CAMPELLES,"RIPOLLÈS, EL             ",10030,6422,16452
08039,CAMPINS,"VALLÈS ORIENTAL, EL      ",31626,6641,38267
17038,CAMPLLONG,"GIRONÈS, EL     ",15687,185770,201457
17039,CAMPRODON,"RIPOLLÈS, EL             ",124408,55349,179757
25063,CANEJAN,"VAL D'ARAN, LA           ",5400,216,5616
17040,CANET D'ADRI,"GIRONÈS, EL     ",29237,6016,35253
08040,CANET DE MAR,"MARESME, EL              ",616259,141263,757522
43907,"CANONJA, LA","TARRAGONÈS, EL           ",200106,6779373,6979479
08041,CANOVELLES,"VALLÈS ORIENTAL, EL      ",632950,243353,876303
08042,CANOVES I SAMALUS,"VALLÈS ORIENTAL, EL      ",137635,11309,148944
17041,CANTALLOPS,"ALT EMPORDÀ, L'          ",17577,5988,23565
08043,CANYELLES,"GARRAF, EL               ",215864,40668,256532
43039,CAPAFONTS,"BAIX CAMP, EL            ",4648,1646,6294
43040,CAPÇANES,"PRIORAT, EL              ",15473,3440,18913
08044,CAPELLADES,"ANOIA, L'                ",188768,434297,623065
17042,CAPMANY,"ALT EMPORDÀ, L'          ",25657,12268,37925
08045,CAPOLAT,"BERGUEDÀ, EL             ",1322,6064,7386
08046,CARDEDEU,"VALLÈS ORIENTAL, EL      ",695305,161506,856811
08047,CARDONA,"BAGES, EL                ",150159,294059,444218
08048,CARME,"ANOIA, L'                ",26321,1035,27356
43041,CASERES,TERRA ALTA               ,10311,10272,20583
17044,CASSA DE LA SELVA,"GIRONÈS, EL     ",389218,157466,546684
08049,CASSERRES,"BERGUEDÀ, EL             ",52078,68872,120950
08057,CASTELL DE L'ARENY,"BERGUEDÀ, EL             ",3344,394,3738
25904,CASTELL DE MUR,"PALLARS JUSSÀ, EL        ",6787.5,18717,25504.5
25064,CASTELLAR DE LA RIBERA,"SOLSONÈS, EL             ",4917,172935,177852
08052,CASTELLAR DE N'HUG,"BERGUEDÀ, EL             ",11340,3875,15215
08050,CASTELLAR DEL RIU,"BERGUEDÀ, EL             ",5243,13707,18950
08051,CASTELLAR DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",1024417,354058,1378475
08053,CASTELLBELL I EL VILAR,"BAGES, EL                ",148360,46866,195226
08054,CASTELLBISBAL,"VALLÈS OCCIDENTAL, EL    ",527898,3853877,4381775
08055,CASTELLCIR,Moianès,29293,55710,85003
25067,CASTELLDANS,"GARRIGUES, LES           ",31299,2275,33574
08056,CASTELLDEFELS,"BAIX LLOBREGAT, EL       ",2896382,724801,3621183
08058,CASTELLET I LA GORNAL,"ALT PENEDÈS, L'          ",142146,63038,205184
17046,CASTELLFOLLIT DE LA ROCA,"GARROTXA, LA             ",38430,8538,46968
08060,CASTELLFOLLIT DE RIUBREGOS,"ANOIA, L'                ",7232,10706,17938
08059,CASTELLFOLLIT DEL BOIX,"BAGES, EL                ",20930,11361,32291
08061,CASTELLGALÍ,"BAGES, EL                ",93846,192006,285852
08062,CASTELLNOU DE BAGES,"BAGES, EL                ",67296,32014,99310
25068,CASTELLNOU DE SEANA,"PLA D'URGELL, EL         ",48708,4424,53132
25069,CASTELLO DE FARFANYA,"NOGUERA, LA              ",21900,40793,62693
17047,CASTELLO D'EMPURIES,"ALT EMPORDÀ, L'          ",1002040,477906,1479946
08063,CASTELLOLI,"ANOIA, L'                ",20097,12296,32393
17048,CASTELL-PLATJA D'ARO I S'AGARÓ,"BAIX EMPORDÀ, EL         ",1424682,951696,2376378
25070,CASTELLSERA,"URGELL, L'               ",43961,5159,49120
08064,CASTELLTERÇOL,Moianès,109532,113997,223529
43042,CASTELLVELL DEL CAMP,"BAIX CAMP, EL            ",140054,19106,159160
08065,CASTELLVI DE LA MARCA,"ALT PENEDÈS, L'          ",62454,25675,88129
08066,CASTELLVI DE ROSANES,"BAIX LLOBREGAT, EL       ",93357,64819,158176
43043,"CATLLAR, EL","TARRAGONÈS, EL           ",291624,133873,425497
25071,CAVA,"ALT URGELL, L'           ",7380,504,7884
17189,"CELLERA DE TER, LA","SELVA, LA                ",63728,33936,97664
17049,CELRA,"GIRONÈS, EL     ",207553,702675,910228
08067,CENTELLES,OSONA                    ,282341,211528,493869
08268,CERCS,"BERGUEDÀ, EL             ",45323,19798,65121
08266,CERDANYOLA DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",2187003,1262699,3449702
08068,CERVELLO,"BAIX LLOBREGAT, EL       ",441436,74964,516400
25072,CERVERA,"SEGARRA, LA              ",334305,181167,515472
25073,CERVIA DE LES GARRIGUES,"GARRIGUES, LES           ",24590,1038,25628
17050,CERVIA DE TER,"GIRONÈS, EL     ",41307,410505,451812
17051,CISTELLA,"ALT EMPORDÀ, L'          ",11616,33071,44687
25074,CIUTADILLA,"URGELL, L'               ",7441,8427,15868
25075,CLARIANA DE CARDENER,"SOLSONÈS, EL             ",2794,22476,25270
25076,"COGUL, EL","GARRIGUES, LES           ",5240,3591.333333333333,8831.333333333332
17054,COLERA,"ALT EMPORDÀ, L'          ",44553,11051,55604
25077,COLL DE NARGO,"ALT URGELL, L'           ",26732,5038,31770
08069,COLLBATO,"BAIX LLOBREGAT, EL       ",247426,31090,278516
43045,COLLDEJOU,"BAIX CAMP, EL            ",4020,288,4308
08070,COLLSUSPINA,Moianès,15898,36997,52895
17055,COLOMERS,"BAIX EMPORDÀ, EL         ",12109,2671,14780
25163,"COMA I LA PEDRA, LA","SOLSONÈS, EL             ",16359,64168,80527
25161,CONCA DE DALT,"PALLARS JUSSÀ, EL        ",47736,1096,48832
43046,CONESA,"CONCA DE BARBERÀ, LA     ",5182,5,5187
43047,CONSTANTI,"TARRAGONÈS, EL           ",192974,308004,500978
08071,COPONS,"ANOIA, L'                ",12498,6076,18574
08072,CORBERA DE LLOBREGAT,"BAIX LLOBREGAT, EL       ",692862,84304,777166
43048,CORBERA D'EBRE,TERRA ALTA               ,33287,4549,37836
25078,CORBINS,"SEGRIÀ, EL               ",59632,33357,92989
17057,CORÇA,"BAIX EMPORDÀ, EL         ",60864,103376,164240
08073,CORNELLA DE LLOBREGAT,"BAIX LLOBREGAT, EL       ",3112772,1315156,4427928
17056,CORNELLA DEL TERRI,"PLA DE L'ESTANY, EL      ",75825,271221,347046
43049,CORNUDELLA DE MONTSANT,"PRIORAT, EL              ",31877,12522,44399
43050,CREIXELL,"TARRAGONÈS, EL           ",324654,131979,456633
17058,CRESPIA,"PLA DE L'ESTANY, EL      ",7056,5325,12381
17901,CRUILLES-MONELLS-SANT SADURNI DE L'HEURA,"BAIX EMPORDÀ, EL         ",70247,29159,99406
08074,CUBELLES,"GARRAF, EL               ",935317,139617,1074934
25079,CUBELLS,"NOGUERA, LA              ",17223,17163,34386
43051,CUNIT,"BAIX PENEDÈS, EL         ",946533,115260,1061793
17060,DARNIUS,"ALT EMPORDÀ, L'          ",29769,2000,31769
17061,DAS,"CERDANYA, LA             ",21441,68786,90227
43901,DELTEBRE,"BAIX EBRE, EL            ",556553,273260,829813
08075,DOSRIUS,"MARESME, EL              ",280315,149730,430045
43053,DUESAIGÜES,"BAIX CAMP, EL            ",7631,1325,8956
17062,"ESCALA, L'","ALT EMPORDÀ, L'          ",947929,323665,1271594
08076,ESPARREGUERA,"BAIX LLOBREGAT, EL       ",843193,281258,1124451
17063,ESPINELVES,OSONA                    ,10252,67596,77848
25081,"ESPLUGA CALBA, L'","GARRIGUES, LES           ",12604,1346,13950
43054,"ESPLUGA DE FRANCOLI, L'","CONCA DE BARBERÀ, LA     ",124872,61427,186299
08077,ESPLUGUES DE LLOBREGAT,"BAIX LLOBREGAT, EL       ",1743415,732002,2475417
17064,ESPOLLA,"ALT EMPORDÀ, L'          ",17349,3985,21334
17065,ESPONELLA,"PLA DE L'ESTANY, EL      ",26768,21241,48009
25082,ESPOT,"PALLARS SOBIRÀ, EL       ",30456,179583,210039
08078,"ESPUNYOLA, L'","BERGUEDÀ, EL             ",6966,33027,39993
08254,"ESQUIROL, L'",OSONA                    ,97686,418908,516594
25088,ESTAMARIU,"ALT URGELL, L'           ",8325,6938,15263
08079,"ESTANY, L'",Moianès,18471,19849,38320
25085,ESTARAS,"SEGARRA, LA              ",6197,45015,51212
25086,ESTERRI D'ANEU,"PALLARS SOBIRÀ, EL       ",51865,111375,163240
25087,ESTERRI DE CARDOS,"PALLARS SOBIRÀ, EL       ",6072,504,6576
43055,FALSET,"PRIORAT, EL              ",69466,51606,121072
17005,"FAR D'EMPORDA, EL","ALT EMPORDÀ, L'          ",19783,28470,48253
25089,FARRERA,"PALLARS SOBIRÀ, EL       ",10260,0,10260
43056,"FATARELLA, LA",TERRA ALTA               ,27618,6265,33883
43057,"FEBRO, LA","BAIX CAMP, EL            ",4603,314,4917
08134,FIGARO-MONTMANY,"VALLÈS ORIENTAL, EL      ",44977,12736,57713
08080,FIGOLS,"BERGUEDÀ, EL             ",1800,471,2271
25908,FIGOLS I ALINYA,"ALT URGELL, L'           ",26730,904,27634
43058,"FIGUERA, LA","PRIORAT, EL              ",6464,2279,8743
17066,FIGUERES,"ALT EMPORDÀ, L'          ",1719921,589922,2309843
43059,FIGUEROLA DEL CAMP,"ALT CAMP, L'             ",13295,8887,22182
17067,FLAÇA,"GIRONÈS, EL     ",42990,18890,61880
