any,municipi,sexe,concepte,estat,valor
2023,Amposta,dones,població,,10976
2023,Amposta,total,població,,22270
2023,Anglès,homes,població,,2958
2023,Anglès,dones,població,,2926
2023,Anglès,total,població,,5884
2023,Anglesola,homes,població,,686
2023,Anglesola,dones,població,,675
2023,Anglesola,total,població,,1361
2023,Arbeca,homes,població,,1078
2023,Arbeca,dones,població,,1031
2023,Arbeca,total,població,,2109
2023,"Arboç, l'",homes,població,,2902
2023,"Arboç, l'",dones,població,,2811
2023,"Arboç, l'",total,població,,5713
2023,Arbolí,homes,població,,79
2023,Arbolí,dones,població,,50
2023,Arbolí,total,població,,129
2023,Arbúcies,homes,població,,3349
2023,Arbúcies,dones,població,,3182
2023,Arbúcies,total,població,,6531
2023,Arenys de Mar,homes,població,,7948
2023,Arenys de Mar,dones,població,,8394
2023,Arenys de Mar,total,població,,16342
2023,Arenys de Munt,homes,població,,4724
2023,Arenys de Munt,dones,població,,4689
2023,Arenys de Munt,total,població,,9413
2023,Argelaguer,homes,població,,214
2023,Argelaguer,dones,població,,214
2023,Argelaguer,total,població,,428
2023,Argençola,homes,població,,116
2023,Argençola,dones,població,,106
2023,Argençola,total,població,,222
2023,"Argentera, l'",homes,població,,75
2023,"Argentera, l'",dones,població,,58
2023,"Argentera, l'",total,població,,133
2023,Argentona,homes,població,,6349
2023,Argentona,dones,població,,6497
2023,Argentona,total,població,,12846
2023,"Armentera, l'",homes,població,,539
2023,"Armentera, l'",dones,població,,522
2023,"Armentera, l'",total,població,,1061
2023,Arnes,homes,població,,218
2023,Arnes,dones,població,,237
2023,Arnes,total,població,,455
2023,Arres,homes,població,,49
2023,Arres,dones,població,,22
2023,Arres,total,població,,71
2023,Arsèguel,homes,població,,41
2023,Arsèguel,dones,població,,36
2023,Arsèguel,total,població,,77
2023,Artés,homes,població,,3024
2023,Artés,dones,població,,2970
2023,Artés,total,població,,5994
2023,Artesa de Lleida,homes,població,,802
2023,Artesa de Lleida,dones,població,,710
2023,Artesa de Lleida,total,població,,1512
2023,Artesa de Segre,homes,població,,1813
2023,Artesa de Segre,dones,població,,1691
2023,Artesa de Segre,total,població,,3504
2023,Ascó,homes,població,,850
2023,Ascó,dones,població,,788
2023,Ascó,total,població,,1638
2023,Aspa,homes,població,,111
2023,Aspa,dones,població,,106
2023,Aspa,total,població,,217
2023,"Avellanes i Santa Linya, les",homes,població,,246
2023,"Avellanes i Santa Linya, les",dones,població,,199
2023,"Avellanes i Santa Linya, les",total,població,,445
2023,Avià,homes,població,,1120
2023,Avià,dones,població,,1129
2023,Avià,total,població,,2249
2023,Avinyó,homes,població,,1153
2023,Avinyó,dones,població,,1136
2023,Avinyó,total,població,,2289
2023,Avinyonet de Puigventós,homes,població,,843
2023,Avinyonet de Puigventós,dones,població,,838
2023,Avinyonet de Puigventós,total,població,,1681
2023,Avinyonet del Penedès,homes,població,,917
2023,Avinyonet del Penedès,dones,població,,815
2023,Avinyonet del Penedès,total,població,,1732
2023,Badalona,homes,població,,111330
2023,Badalona,dones,població,,114627
2023,Badalona,total,població,,225957
2023,Badia del Vallès,homes,població,,6391
2023,Badia del Vallès,dones,població,,6683
2023,Badia del Vallès,total,població,,13074
2023,Bagà,homes,població,,1079
2023,Bagà,dones,població,,1070
2023,Bagà,total,població,,2149
2023,Baix Pallars,homes,població,,188
2023,Baix Pallars,dones,població,,161
2023,Baix Pallars,total,població,,349
2023,Balaguer,homes,població,,9053
2023,Balaguer,dones,població,,8596
2023,Balaguer,total,població,,17649
2023,Balenyà,homes,població,,2015
2023,Balenyà,dones,població,,1954
2023,Balenyà,total,població,,3969
2023,Balsareny,homes,població,,1668
2023,Balsareny,dones,població,,1639
2023,Balsareny,total,població,,3307
2023,Banyeres del Penedès,homes,població,,1690
2023,Banyeres del Penedès,dones,població,,1666
2023,Banyeres del Penedès,total,població,,3356
2023,Banyoles,homes,població,,10175
2023,Banyoles,dones,població,,10331
2023,Banyoles,total,població,,20506
2023,Barbens,homes,població,,518
2023,Barbens,dones,població,,411
2023,Barbens,total,població,,929
2023,Barberà de la Conca,homes,població,,265
2023,Barberà de la Conca,dones,població,,221
2023,Barberà de la Conca,total,població,,486
2023,Barberà del Vallès,homes,població,,16345
2023,Barberà del Vallès,dones,població,,16977
2023,Barberà del Vallès,total,població,,33322
2023,Barcelona,homes,població,,789758
2023,Barcelona,dones,població,,870364
2023,Barcelona,total,població,,1660122
2023,"Baronia de Rialb, la",homes,població,,118
2023,"Baronia de Rialb, la",dones,població,,107
2023,"Baronia de Rialb, la",total,població,,225
2023,Bàscara,homes,població,,541
2023,Bàscara,dones,població,,518
2023,Bàscara,total,població,,1059
2023,Bassella,homes,població,,120
2023,Bassella,dones,població,,101
2023,Bassella,total,població,,221
2023,Batea,homes,població,,929
2023,Batea,dones,població,,940
2023,Batea,total,població,,1869
2023,Bausen,homes,població,,38
2023,Bausen,dones,població,,32
2023,Bausen,total,població,,70
2023,Begues,homes,població,,3690
2023,Begues,dones,població,,3742
2023,Begues,total,població,,7432
2023,Begur,homes,població,,2098
2023,Begur,dones,població,,2118
2023,Begur,total,població,,4216
2023,Belianes,homes,població,,248
2023,Belianes,dones,població,,262
2023,Belianes,total,població,,510
2023,Bellaguarda,homes,població,,151
2023,Bellaguarda,dones,població,,138
2023,Bellaguarda,total,població,,289
2023,Bellcaire d'Empordà,homes,població,,355
2023,Bellcaire d'Empordà,dones,població,,375
2023,Bellcaire d'Empordà,total,població,,730
2023,Bellcaire d'Urgell,homes,població,,626
2023,Bellcaire d'Urgell,dones,població,,605
2023,Bellcaire d'Urgell,total,població,,1231
2023,Bell-lloc d'Urgell,homes,població,,1195
2023,Bell-lloc d'Urgell,dones,població,,1183
2023,Bell-lloc d'Urgell,total,població,,2378
2023,Bellmunt d'Urgell,homes,població,,94
2023,Bellmunt d'Urgell,dones,població,,82
2023,Bellmunt d'Urgell,total,població,,176
2023,Bellmunt del Priorat,homes,població,,147
2023,Bellmunt del Priorat,dones,població,,137
2023,Bellmunt del Priorat,total,població,,284
2023,Bellprat,homes,població,,45
2023,Bellprat,dones,població,,27
2023,Bellprat,total,població,,72
2023,Bellpuig,homes,població,,2726
2023,Bellpuig,dones,població,,2424
2023,Bellpuig,total,població,,5150
2023,Bellvei,homes,població,,1223
2023,Bellvei,dones,població,,1145
2023,Bellvei,total,població,,2368
2023,Bellver de Cerdanya,homes,població,,1155
2023,Bellver de Cerdanya,dones,població,,1095
2023,Bellver de Cerdanya,total,població,,2250
2023,Bellvís,homes,població,,1160
2023,Bellvís,dones,població,,1103
2023,Bellvís,total,població,,2263
2023,Benavent de Segrià,homes,població,,831
2023,Benavent de Segrià,dones,població,,748
2023,Benavent de Segrià,total,població,,1579
2023,Benifallet,homes,població,,357
2023,Benifallet,dones,població,,376
2023,Benifallet,total,població,,733
2023,Benissanet,homes,població,,631
2023,Benissanet,dones,població,,528
2023,Benissanet,total,població,,1159
2023,Berga,homes,població,,8350
2023,Berga,dones,població,,8609
2023,Berga,total,població,,16959
2023,Besalú,homes,població,,1186
2023,Besalú,dones,població,,1332
2023,Besalú,total,població,,2518
2023,Bescanó,homes,població,,2596
